ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001398344-20-010226	asServiceCompany	2	Federated Shareholder Services Company	084-01869	5800 Corporate Drive  Pittsburgh PA 15237
0001398344-20-010226	serviceCompany	1	American Stock Transfer & Trust Company, LLC	084-00416	6201 15th Ave  Brooklyn NY 11219
0001398344-20-010224	serviceCompany	1	Ultimus Fund Solutions, LLC	084-05829	225 Pictoria Drive Suite 450 Cincinnati OH 45246
0001424537-20-000002	serviceCompany	1	West Coast Stock Transfer	084-06347	721 N Vulcan Avenue Suite 205 Encinitas CA 92024
0001557183-20-000002	serviceCompanyTransferAgent	1	The Vanguard Group, Inc.	084-00772	    
0000913181-20-000002	asServiceCompany	1	Gemini Fund Services	084-06083	4020 S 147th Street  Omaha NE 68137
0001104659-20-054696	serviceCompanyTransferAgent	1	WORLDWIDE STOCK TRANSFER LLC	084-06153	    
0001808525-20-000003	asServiceCompany	1	Invesco Investment Services, Inc.	084-05432	11 Greenway Plaza Suite 1000 Houston TX 77046
0001007444-20-000005	serviceCompanyTransferAgent	1	DST Systems, Inc.	084-00448	    
0001451316-20-000008	asServiceCompanyTransferAgent	1	Franklin Templeton Investment Services, LLC	084-01036	    
